file,index,orig_id,label,start,end,seq_len,k,energy_mfe,keys
000153.npz,153,000154_label0,0,0,300,300,6,-90.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000154.npz,154,000155_label0,0,0,300,300,6,-95.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000155.npz,155,000156_label0,0,0,300,300,6,-76.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000156.npz,156,000157_label0,0,0,300,300,6,-83.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000157.npz,157,000158_label0,0,0,300,300,6,-57.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000158.npz,158,000159_label0,0,0,300,300,6,-102.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000159.npz,159,000160_label0,0,0,300,300,6,-93.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000160.npz,160,000161_label0,0,0,300,300,6,-74.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000161.npz,161,000162_label0,0,0,300,300,6,-81.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000162.npz,162,000163_label0,0,0,300,300,6,-89.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000163.npz,163,000164_label0,0,0,300,300,6,-85.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000164.npz,164,000165_label0,0,0,300,300,6,-85.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000165.npz,165,000166_label0,0,0,300,300,6,-93.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000166.npz,166,000167_label0,0,0,300,300,6,-130.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000167.npz,167,000168_label0,0,0,300,300,6,-88.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000168.npz,168,000169_label0,0,0,300,300,6,-90.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000169.npz,169,000170_label0,0,0,300,300,6,-103.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000170.npz,170,000171_label0,0,0,300,300,6,-94.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000171.npz,171,000172_label0,0,0,300,300,6,-78.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000172.npz,172,000173_label0,0,0,300,300,6,-63.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000173.npz,173,000174_label0,0,0,300,300,6,-96.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000174.npz,174,000175_label0,0,0,300,300,6,-70.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000175.npz,175,000176_label0,0,0,300,300,6,-82.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000176.npz,176,000177_label0,0,0,300,300,6,-79.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000177.npz,177,000178_label0,0,0,300,300,6,-94.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000178.npz,178,000179_label0,0,0,300,300,6,-70.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000179.npz,179,000180_label0,0,0,300,300,6,-107.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000180.npz,180,000181_label0,0,0,300,300,6,-77.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000181.npz,181,000182_label0,0,0,300,300,6,-99.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000182.npz,182,000183_label0,0,0,300,300,6,-110.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000183.npz,183,000184_label0,0,0,300,300,6,-59.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000184.npz,184,000185_label0,0,0,300,300,6,-95.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000185.npz,185,000186_label0,0,0,300,300,6,-31.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000186.npz,186,000187_label0,0,0,300,300,6,-98.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000187.npz,187,000188_label0,0,0,300,300,6,-87.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000188.npz,188,000189_label0,0,0,300,300,6,-112.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000189.npz,189,000190_label0,0,0,300,300,6,-82.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000190.npz,190,000191_label0,0,0,300,300,6,-101.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000191.npz,191,000192_label0,0,0,300,300,6,-95.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000192.npz,192,000193_label0,0,0,300,300,6,-83.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000193.npz,193,000194_label0,0,0,300,300,6,-128.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000194.npz,194,000195_label0,0,0,300,300,6,-92.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000195.npz,195,000196_label0,0,0,300,300,6,-82.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000196.npz,196,000197_label0,0,0,300,300,6,-79.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000197.npz,197,000198_label0,0,0,300,300,6,-85.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000198.npz,198,000199_label0,0,0,300,300,6,-96.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000199.npz,199,000200_label0,0,0,300,300,6,-97.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000200.npz,200,000201_label0,0,0,300,300,6,-86.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000201.npz,201,000202_label0,0,0,300,300,6,-108.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000202.npz,202,000203_label0,0,0,300,300,6,-58.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000203.npz,203,000204_label0,0,0,300,300,6,-39.29,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000204.npz,204,000205_label0,0,0,300,300,6,-91.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000205.npz,205,000206_label0,0,0,300,300,6,-93.7,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000206.npz,206,000207_label0,0,0,300,300,6,-82.0,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000207.npz,207,000208_label0,0,0,300,300,6,-89.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000208.npz,208,000209_label0,0,0,300,300,6,-82.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000209.npz,209,000210_label0,0,0,300,300,6,-85.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000210.npz,210,000211_label0,0,0,300,300,6,-80.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000211.npz,211,000212_label0,0,0,300,300,6,-60.5,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000212.npz,212,000213_label0,0,0,300,300,6,-66.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000213.npz,213,000214_label0,0,0,300,300,6,-78.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000214.npz,214,000215_label0,0,0,300,300,6,-64.6,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000215.npz,215,000216_label0,0,0,300,300,6,-62.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000216.npz,216,000217_label0,0,0,300,300,6,-115.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000217.npz,217,000218_label0,0,0,300,300,6,-69.99,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000218.npz,218,000219_label0,0,0,300,300,6,-102.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000219.npz,219,000220_label0,0,0,300,300,6,-104.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000220.npz,220,000221_label0,0,0,300,300,6,-73.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000221.npz,221,000222_label0,0,0,300,300,6,-106.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000222.npz,222,000223_label0,0,0,300,300,6,-95.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000223.npz,223,000224_label0,0,0,300,300,6,-76.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000224.npz,224,000225_label0,0,0,300,300,6,-57.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000225.npz,225,000226_label0,0,0,300,300,6,-72.4,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000226.npz,226,000227_label0,0,0,300,300,6,-60.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000227.npz,227,000228_label0,0,0,300,300,6,-93.3,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000228.npz,228,000229_label0,0,0,300,300,6,-104.9,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000229.npz,229,000230_label0,0,0,300,300,6,-84.2,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000230.npz,230,000231_label0,0,0,300,300,6,-88.1,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
000231.npz,231,000232_label0,0,0,300,300,6,-98.8,paired_flag|unpaired_flag|region_len_norm|mfe_energy_norm
